Departement;Candidat;percent
89;CHEMINADE;0.25
89;BAYROU;8.47
89;DUPONT-AIGNAN;2.22
89;HOLLANDE;24.00
59;JOLY;1.75
59;LE PEN;21.91
59;SARKOZY;24.70
59;MELENCHON;12.62
59;POUTOU;1.10
59;ARTHAUD;0.70
59;CHEMINADE;0.23
59;BAYROU;7.48
59;DUPONT-AIGNAN;1.54
59;HOLLANDE;27.97
62;JOLY;1.21
62;LE PEN;25.53
62;SARKOZY;21.86
62;MELENCHON;11.54
62;POUTOU;1.29
62;ARTHAUD;0.85
62;CHEMINADE;0.21
62;BAYROU;6.40
62;DUPONT-AIGNAN;1.66
62;HOLLANDE;29.44
54;JOLY;1.81
54;LE PEN;21.18
54;SARKOZY;24.21
54;MELENCHON;12.06
54;POUTOU;1.28
54;ARTHAUD;0.66
54;CHEMINADE;0.28
54;BAYROU;8.68
54;DUPONT-AIGNAN;1.91
54;HOLLANDE;27.93
55;JOLY;1.60
55;LE PEN;25.82
55;SARKOZY;26.56
55;MELENCHON;8.85
55;POUTOU;1.50
55;ARTHAUD;0.70
55;CHEMINADE;0.31
55;BAYROU;9.23
55;DUPONT-AIGNAN;2.04
55;HOLLANDE;23.40
57;JOLY;1.73
57;LE PEN;24.73
57;SARKOZY;25.93
57;MELENCHON;9.52
57;POUTOU;1.39
57;ARTHAUD;0.76
57;CHEMINADE;0.27
57;BAYROU;9.29
57;DUPONT-AIGNAN;1.86
57;HOLLANDE;24.53
88;JOLY;1.76
88;LE PEN;24.18
88;SARKOZY;25.32
88;MELENCHON;9.68
88;POUTOU;1.56
88;ARTHAUD;0.75
88;CHEMINADE;0.29
88;BAYROU;9.40
88;DUPONT-AIGNAN;2.38
88;HOLLANDE;24.68
67;JOLY;2.76
67;LE PEN;21.21
67;SARKOZY;33.61
67;MELENCHON;7.22
67;POUTOU;1.02
67;ARTHAUD;0.64
67;CHEMINADE;0.28
67;BAYROU;11.94
67;DUPONT-AIGNAN;1.74
67;HOLLANDE;19.57
68;JOLY;2.71
68;LE PEN;23.43
68;SARKOZY;31.91
68;MELENCHON;7.42
68;POUTOU;1.19
68;ARTHAUD;0.64
68;CHEMINADE;0.33
68;BAYROU;11.39
68;DUPONT-AIGNAN;2.10
68;HOLLANDE;18.89
25;JOLY;2.35
25;LE PEN;19.19
25;SARKOZY;28.49
25;MELENCHON;10.96
25;POUTOU;1.18
25;ARTHAUD;0.65
25;CHEMINADE;0.26
25;BAYROU;8.80
25;DUPONT-AIGNAN;1.84
25;HOLLANDE;26.28
39;JOLY;2.40
39;LE PEN;20.41
39;SARKOZY;25.83
39;MELENCHON;12.55
39;POUTOU;1.32
39;ARTHAUD;0.70
39;CHEMINADE;0.28
39;BAYROU;9.62
39;DUPONT-AIGNAN;2.29
39;HOLLANDE;24.60
70;JOLY;1.58
70;LE PEN;25.12
70;SARKOZY;25.23
70;MELENCHON;9.64
70;POUTOU;1.36
70;ARTHAUD;0.77
70;CHEMINADE;0.28
70;BAYROU;7.61
70;DUPONT-AIGNAN;2.04
70;HOLLANDE;26.38
90;JOLY;2.02
90;LE PEN;23.74
90;SARKOZY;23.88
90;MELENCHON;11.41
90;POUTOU;1.32
90;ARTHAUD;0.70
90;CHEMINADE;0.29
90;BAYROU;8.85
90;DUPONT-AIGNAN;1.79
90;HOLLANDE;26.01
44;JOLY;3.16
44;LE PEN;12.18
44;SARKOZY;26.06
44;MELENCHON;11.65
44;POUTOU;1.25
44;ARTHAUD;0.58
44;CHEMINADE;0.23
44;BAYROU;11.31
44;DUPONT-AIGNAN;1.84
44;HOLLANDE;31.76
49;JOLY;2.36
49;LE PEN;13.88
49;SARKOZY;29.93
49;MELENCHON;9.35
49;POUTOU;1.39
49;ARTHAUD;0.75
49;CHEMINADE;0.26
49;BAYROU;12.77
49;DUPONT-AIGNAN;2.21
49;HOLLANDE;27.10
53;JOLY;2.12
53;LE PEN;14.77
53;SARKOZY;30.69
53;MELENCHON;8.30
53;POUTOU;1.31
53;ARTHAUD;0.78
53;CHEMINADE;0.23
53;BAYROU;13.78
53;DUPONT-AIGNAN;2.14
53;HOLLANDE;25.87
72;JOLY;1.89
72;LE PEN;19.17
72;SARKOZY;26.43
72;MELENCHON;10.78
72;POUTOU;1.34
72;ARTHAUD;0.75
72;CHEMINADE;0.23
72;BAYROU;9.14
72;DUPONT-AIGNAN;2.15
72;HOLLANDE;28.13
85;JOLY;1.88
85;LE PEN;15.18
85;SARKOZY;32.89
85;MELENCHON;8.46
85;POUTOU;1.45
85;ARTHAUD;0.63
85;CHEMINADE;0.24
85;BAYROU;12.13
85;DUPONT-AIGNAN;2.33
85;HOLLANDE;24.81
22;JOLY;2.78
22;LE PEN;13.58
22;SARKOZY;23.86
22;MELENCHON;12.20
22;POUTOU;1.33
22;ARTHAUD;0.67
22;CHEMINADE;0.24
22;BAYROU;10.60
22;DUPONT-AIGNAN;1.71
22;HOLLANDE;33.02
29;JOLY;2.95
29;LE PEN;11.98
29;SARKOZY;24.46
29;MELENCHON;11.52
29;POUTOU;1.48
29;ARTHAUD;0.60
29;CHEMINADE;0.27
29;BAYROU;11.27
29;DUPONT-AIGNAN;1.78
29;HOLLANDE;33.70
35;JOLY;3.17
35;LE PEN;12.39
35;SARKOZY;26.02
35;MELENCHON;10.35
35;POUTOU;1.22
35;ARTHAUD;0.67
35;CHEMINADE;0.24
35;BAYROU;12.35
35;DUPONT-AIGNAN;1.83
35;HOLLANDE;31.77
56;JOLY;2.81
56;LE PEN;15.55
56;SARKOZY;28.16
56;MELENCHON;10.24
56;POUTOU;1.37
56;ARTHAUD;0.61
56;CHEMINADE;0.27
56;BAYROU;10.85
56;DUPONT-AIGNAN;1.85
56;HOLLANDE;28.29
16;JOLY;1.83
16;LE PEN;17.72
16;SARKOZY;23.06
16;MELENCHON;11.32
16;POUTOU;1.47
16;ARTHAUD;0.70
16;CHEMINADE;0.25
16;BAYROU;8.81
16;DUPONT-AIGNAN;2.04
16;HOLLANDE;32.79
17;JOLY;2.21
17;LE PEN;17.45
17;SARKOZY;28.10
17;MELENCHON;10.38
17;POUTOU;1.42
17;ARTHAUD;0.57
17;CHEMINADE;0.23
17;BAYROU;9.08
17;DUPONT-AIGNAN;2.09
17;HOLLANDE;28.47
79;JOLY;2.02
79;LE PEN;13.57
79;SARKOZY;24.99
79;MELENCHON;10.24
79;POUTOU;1.60
79;ARTHAUD;0.73
79;CHEMINADE;0.26
79;BAYROU;11.00
79;DUPONT-AIGNAN;2.23
79;HOLLANDE;33.36
86;JOLY;2.17
86;LE PEN;16.41
86;SARKOZY;24.50
86;MELENCHON;11.00
86;POUTOU;1.35
86;ARTHAUD;0.71
86;CHEMINADE;0.23
86;BAYROU;9.59
86;DUPONT-AIGNAN;2.05
86;HOLLANDE;31.99
24;JOLY;2.13
24;LE PEN;17.01
24;SARKOZY;22.93
24;MELENCHON;13.71
24;POUTOU;1.37
24;ARTHAUD;0.57
24;CHEMINADE;0.24
24;BAYROU;8.07
24;DUPONT-AIGNAN;1.87
24;HOLLANDE;32.09
33;JOLY;2.43
33;LE PEN;15.61
33;SARKOZY;24.84
33;MELENCHON;11.74
33;POUTOU;1.66
33;ARTHAUD;0.45
33;CHEMINADE;0.23
33;BAYROU;9.68
33;DUPONT-AIGNAN;1.60
33;HOLLANDE;31.75
40;JOLY;1.83
40;LE PEN;14.10
40;SARKOZY;24.56
40;MELENCHON;12.51
40;POUTOU;1.48
40;ARTHAUD;0.48
40;CHEMINADE;0.21
40;BAYROU;10.43
40;DUPONT-AIGNAN;1.64
40;HOLLANDE;32.75
47;JOLY;1.92
47;LE PEN;21.41
47;SARKOZY;25.32
47;MELENCHON;11.69
47;POUTOU;1.37
47;ARTHAUD;0.50
47;CHEMINADE;0.23
47;BAYROU;8.85
47;DUPONT-AIGNAN;1.79
47;HOLLANDE;26.91
64;JOLY;2.88
64;LE PEN;12.14
64;SARKOZY;23.65
64;MELENCHON;11.87
64;POUTOU;1.73
64;ARTHAUD;0.46
64;CHEMINADE;0.22
64;BAYROU;15.67
64;DUPONT-AIGNAN;1.46
64;HOLLANDE;29.92
09;JOLY;2.85
09;LE PEN;16.79
09;SARKOZY;18.72
09;MELENCHON;16.86
09;POUTOU;1.45
09;ARTHAUD;0.55
09;CHEMINADE;0.23
09;BAYROU;6.67
09;DUPONT-AIGNAN;1.51
09;HOLLANDE;34.36
12;JOLY;2.34
12;LE PEN;14.10
12;SARKOZY;25.51
12;MELENCHON;12.26
12;POUTOU;1.33
12;ARTHAUD;0.53
12;CHEMINADE;0.24
12;BAYROU;12.55
12;DUPONT-AIGNAN;1.70
12;HOLLANDE;29.44
31;JOLY;3.04
31;LE PEN;15.31
31;SARKOZY;22.84
31;MELENCHON;13.38
31;POUTOU;1.11
31;ARTHAUD;0.41
31;CHEMINADE;0.25
31;BAYROU;9.32
31;DUPONT-AIGNAN;1.53
31;HOLLANDE;32.83
32;JOLY;2.25
32;LE PEN;15.90
32;SARKOZY;24.14
32;MELENCHON;12.06
32;POUTOU;1.23
32;ARTHAUD;0.54
32;CHEMINADE;0.25
32;BAYROU;9.95
32;DUPONT-AIGNAN;1.82
32;HOLLANDE;31.86
46;JOLY;2.67
46;LE PEN;13.48
46;SARKOZY;21.43
46;MELENCHON;14.38
46;POUTOU;1.45
46;ARTHAUD;0.55
46;CHEMINADE;0.26
46;BAYROU;9.33
46;DUPONT-AIGNAN;1.94
46;HOLLANDE;34.51
65;JOLY;2.08
65;LE PEN;14.91
65;SARKOZY;20.39
65;MELENCHON;15.16
65;POUTOU;1.36
65;ARTHAUD;0.54
65;CHEMINADE;0.21
65;BAYROU;10.55
65;DUPONT-AIGNAN;1.64
65;HOLLANDE;33.16
81;JOLY;2.14
81;LE PEN;18.93
81;SARKOZY;23.28
81;MELENCHON;12.17
81;POUTOU;1.25
81;ARTHAUD;0.51
81;CHEMINADE;0.23
81;BAYROU;9.18
81;DUPONT-AIGNAN;1.63
81;HOLLANDE;30.69
82;JOLY;1.97
82;LE PEN;22.10
82;SARKOZY;25.14
82;MELENCHON;11.19
82;POUTOU;1.21
82;ARTHAUD;0.48
82;CHEMINADE;0.25
82;BAYROU;8.28
82;DUPONT-AIGNAN;1.76
82;HOLLANDE;27.63
19;JOLY;1.38
19;LE PEN;13.31
19;SARKOZY;21.59
19;MELENCHON;10.55
19;POUTOU;1.01
19;ARTHAUD;0.42
19;CHEMINADE;0.18
19;BAYROU;6.93
19;DUPONT-AIGNAN;1.65
19;HOLLANDE;42.97
23;JOLY;1.76
23;LE PEN;16.27
23;SARKOZY;22.23
23;MELENCHON;13.01
23;POUTOU;1.49
23;ARTHAUD;0.72
23;CHEMINADE;0.25
23;BAYROU;8.33
23;DUPONT-AIGNAN;1.93
23;HOLLANDE;34.02
87;JOLY;1.80
87;LE PEN;16.42
87;SARKOZY;19.83
87;MELENCHON;14.36
87;POUTOU;1.21
87;ARTHAUD;0.66
87;CHEMINADE;0.24
87;BAYROU;7.89
87;DUPONT-AIGNAN;1.66
87;HOLLANDE;35.93
01;JOLY;2.26
01;LE PEN;20.71
01;SARKOZY;30.41
01;MELENCHON;9.61
01;POUTOU;1.03
01;ARTHAUD;0.56
01;CHEMINADE;0.27
01;BAYROU;10.16
01;DUPONT-AIGNAN;2.24
01;HOLLANDE;22.75
07;JOLY;2.80
07;LE PEN;20.04
07;SARKOZY;23.76
07;MELENCHON;14.07
07;POUTOU;1.37
07;ARTHAUD;0.63
07;CHEMINADE;0.26
07;BAYROU;9.15
07;DUPONT-AIGNAN;1.94
07;HOLLANDE;25.98
26;JOLY;2.87
26;LE PEN;20.96
26;SARKOZY;26.12
26;MELENCHON;12.10
26;POUTOU;1.11
26;ARTHAUD;0.71
26;CHEMINADE;0.26
26;BAYROU;8.88
26;DUPONT-AIGNAN;1.94
26;HOLLANDE;25.05
38;JOLY;3.03
38;LE PEN;18.97
38;SARKOZY;24.95
38;MELENCHON;12.41
38;POUTOU;1.03
38;ARTHAUD;0.52
38;CHEMINADE;0.26
38;BAYROU;9.09
38;DUPONT-AIGNAN;1.90
38;HOLLANDE;27.85
42;JOLY;1.96
42;LE PEN;21.55
42;SARKOZY;25.07
42;MELENCHON;11.18
42;POUTOU;1.08
42;ARTHAUD;0.61
42;CHEMINADE;0.23
42;BAYROU;9.75
42;DUPONT-AIGNAN;2.11
42;HOLLANDE;26.46
69;JOLY;2.90
69;LE PEN;15.09
69;SARKOZY;30.77
69;MELENCHON;10.74
69;POUTOU;0.84
69;ARTHAUD;0.48
69;CHEMINADE;0.26
69;BAYROU;10.30
69;DUPONT-AIGNAN;1.72
69;HOLLANDE;26.91
73;JOLY;3.42
73;LE PEN;18.92
73;SARKOZY;28.61
73;MELENCHON;11.47
73;POUTOU;1.19
73;ARTHAUD;0.50
73;CHEMINADE;0.27
73;BAYROU;9.89
73;DUPONT-AIGNAN;2.11
73;HOLLANDE;23.64
74;JOLY;3.59
74;LE PEN;16.56
74;SARKOZY;34.06
74;MELENCHON;9.23
74;POUTOU;1.12
74;ARTHAUD;0.45
74;CHEMINADE;0.31
74;BAYROU;11.83
74;DUPONT-AIGNAN;2.32
74;HOLLANDE;20.52
03;JOLY;1.57
03;LE PEN;18.32
03;SARKOZY;24.02
03;MELENCHON;13.58
03;POUTOU;1.25
03;ARTHAUD;0.72
03;CHEMINADE;0.22
03;BAYROU;8.65
03;DUPONT-AIGNAN;1.98
03;HOLLANDE;29.68
15;JOLY;1.56
15;LE PEN;15.12
15;SARKOZY;28.61
15;MELENCHON;8.98
15;POUTOU;1.24
15;ARTHAUD;0.60
15;CHEMINADE;0.24
15;BAYROU;11.16
15;DUPONT-AIGNAN;1.66
15;HOLLANDE;30.84
43;JOLY;2.10
43;LE PEN;20.40
43;SARKOZY;24.42
43;MELENCHON;11.17
43;POUTOU;1.33
43;ARTHAUD;0.74
43;CHEMINADE;0.22
43;BAYROU;11.18
43;DUPONT-AIGNAN;2.08
43;HOLLANDE;26.36
63;JOLY;2.04
63;LE PEN;15.59
63;SARKOZY;21.41
63;MELENCHON;13.99
63;POUTOU;1.24
63;ARTHAUD;0.64
63;CHEMINADE;0.27
63;BAYROU;9.95
63;DUPONT-AIGNAN;1.77
63;HOLLANDE;33.10
11;JOLY;2.09
11;LE PEN;23.22
11;SARKOZY;21.63
11;MELENCHON;13.15
11;POUTOU;1.26
11;ARTHAUD;0.52
11;CHEMINADE;0.21
11;BAYROU;6.04
11;DUPONT-AIGNAN;1.47
11;HOLLANDE;30.40
30;JOLY;2.12
30;LE PEN;25.51
30;SARKOZY;24.86
30;MELENCHON;13.33
30;POUTOU;1.01
30;ARTHAUD;0.47
30;CHEMINADE;0.23
30;BAYROU;6.91
30;DUPONT-AIGNAN;1.46
30;HOLLANDE;24.11
34;JOLY;2.52
34;LE PEN;22.28
34;SARKOZY;25.31
34;MELENCHON;13.27
34;POUTOU;1.03
34;ARTHAUD;0.40
34;CHEMINADE;0.23
34;BAYROU;6.86
34;DUPONT-AIGNAN;1.40
34;HOLLANDE;26.69
48;JOLY;2.61
48;LE PEN;17.30
48;SARKOZY;27.77
48;MELENCHON;12.41
48;POUTOU;1.29
48;ARTHAUD;0.53
48;CHEMINADE;0.24
48;BAYROU;11.01
48;DUPONT-AIGNAN;1.69
48;HOLLANDE;25.15
66;JOLY;2.11
66;LE PEN;24.23
66;SARKOZY;25.31
66;MELENCHON;12.77
66;POUTOU;1.24
66;ARTHAUD;0.49
66;CHEMINADE;0.22
66;BAYROU;6.29
66;DUPONT-AIGNAN;1.38
66;HOLLANDE;25.96
04;JOLY;2.91
04;LE PEN;20.71
04;SARKOZY;25.47
04;MELENCHON;15.15
04;POUTOU;1.38
04;ARTHAUD;0.48
04;CHEMINADE;0.28
04;BAYROU;7.42
04;DUPONT-AIGNAN;1.83
04;HOLLANDE;24.36
05;JOLY;3.63
05;LE PEN;17.70
05;SARKOZY;26.11
05;MELENCHON;14.03
05;POUTOU;1.33
05;ARTHAUD;0.56
05;CHEMINADE;0.24
05;BAYROU;9.86
05;DUPONT-AIGNAN;2.05
05;HOLLANDE;24.49
06;JOLY;2.15
06;LE PEN;23.50
06;SARKOZY;37.19
06;MELENCHON;8.49
06;POUTOU;0.69
06;ARTHAUD;0.27
06;CHEMINADE;0.21
06;BAYROU;6.69
06;DUPONT-AIGNAN;1.59
06;HOLLANDE;19.21
13;JOLY;2.11
13;LE PEN;23.38
13;SARKOZY;27.50
13;MELENCHON;13.43
13;POUTOU;0.80
13;ARTHAUD;0.35
13;CHEMINADE;0.22
13;BAYROU;6.35
13;DUPONT-AIGNAN;1.35
13;HOLLANDE;24.51
83;JOLY;1.89
83;LE PEN;24.83
83;SARKOZY;34.78
83;MELENCHON;9.13
83;POUTOU;0.87
83;ARTHAUD;0.35
83;CHEMINADE;0.21
83;BAYROU;6.66
83;DUPONT-AIGNAN;1.63
83;HOLLANDE;19.65
84;JOLY;2.26
84;LE PEN;27.03
84;SARKOZY;27.44
84;MELENCHON;11.14
84;POUTOU;0.95
84;ARTHAUD;0.39
84;CHEMINADE;0.21
84;BAYROU;6.73
84;DUPONT-AIGNAN;1.50
84;HOLLANDE;22.34
